"GSM1570043";"GSM1570044";"GSM1570045";"GSM1570046";"GSM1570047";"GSM1570048";"GSM1570049";"GSM1570050";"GSM1570051";"GSM1570052";"GSM1570053";"GSM1570054"
"ABCE1";11.62567851;11.6648472;10.77162835;10.87046313;10.47189203;10.62576764;10.61766428;10.7894507;10.68547323;10.50510362;10.89174894;10.73779418
"ABCF1";10.05212253;9.935481809;9.985355755;9.661242256;9.273150801;9.320509235;9.494097312;9.810686793;9.435227592;9.107570993;9.722459026;9.716791273
"ABCF2";11.12015453;11.05864525;10.33714136;10.45792003;9.432117173;9.369497491;9.998597156;10.20045438;10.01446579;9.024231967;10.23575283;10.3374005
"ABCF3";8.037090121;7.757272089;7.378981605;7.502755806;6.915777281;7.333685714;7.584114549;7.463119386;7.62558811;7.146891476;7.536154227;7.683258174
"ABCG1";6.003366129;6.091824934;7.393746801;7.260188401;8.448091164;8.118892273;7.320888528;7.52200104;8.232035232;8.689475669;7.716219626;7.273285157
"ABCG2";6.4670058;6.421796691;5.683960313;5.584040379;5.492174938;5.65989925;5.336722003;5.696837242;5.353315742;5.404931242;5.653546809;5.495740224
"ABCG4";6.224269487;6.564742751;5.59137863;5.968990645;5.642320636;5.737008323;5.836502924;5.745978904;5.868617445;5.668625714;5.744567158;5.732023586
"ABCG5";4.18276479;4.237903536;3.956844966;3.817746663;3.914150034;4.000331423;4.062033049;3.839797785;3.945757043;3.866248921;3.871211698;4.011041244
"ABCG8";4.155239314;4.178011207;3.940205306;3.964044875;4.0398914;4.008017918;4.123940669;3.981957599;3.992133589;4.09016848;3.974958388;4.187924494
"ABHD1";6.413605754;6.615266103;6.326174177;6.300755645;6.311614395;6.250150903;6.312431988;6.335723457;6.401649151;6.14184833;6.499245349;6.380097726
"ABHD10";11.90682589;11.84687623;10.93922383;11.22548056;10.66116287;10.66431457;10.6822514;10.98954606;10.81387029;10.30030018;10.77248302;10.85144852
"ABHD11";9.507184979;9.422635532;8.548715305;8.582446129;8.677851926;8.316777157;8.307751288;8.449794752;8.42045765;8.373809635;8.227173104;8.297852698
"ABHD12";7.501254036;7.5179726;7.547336979;7.40967574;7.251460272;7.311887921;7.477058608;7.322850674;7.088294457;7.00691155;7.40984235;7.366179236
